suite,scene_raw,scene,planner_raw,planner_public,run_id,source_log_id,benchmark_seed,target_cost,time_limit_s,status_code,status_label,solved,exact,approximate,final_time_s,final_cost,final_cost_normalized,target_hit,target_time_s,first_solution_time_s,first_solution_cost,progress_available
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,2,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,14.3459,598.181527,0.74772690875,true,13.7679,13.7679,613.63066,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,3,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,15.2167,585.133247,0.73141655875,true,14.6028,14.6028,780.077909,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,4,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,9.89885,648.82026,0.811025325,true,9.45575,9.45575,676.228938,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,5,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,5.3542,636.26544,0.7953318,true,4.3925,4.3925,650.468055,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,6,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,3.20719,668.286991,0.83535873875,true,2.95762,2.95762,671.045038,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,7,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,15.1388,638.615429,0.79826928625,true,14.8754,14.8754,651.391383,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,8,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,8.15423,786.889786,0.9836122325,true,8.15423,7.53904,812.180674,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,9,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,9.44275,596.721983,0.74590247875,true,8.78439,8.78439,611.629471,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,10,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,38.4296,524.117573,0.65514696625,true,37.6934,37.6934,556.284684,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,11,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,7.93017,646.704571,0.80838071375,true,6.87956,6.87956,665.293809,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,12,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,6.58557,710.311247,0.88788905875,true,5.75127,5.75127,721.257853,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,13,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,6.87109,559.003202,0.6987540025,true,6.25847,6.25847,565.835359,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,14,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,7.66683,642.841181,0.80355147625,true,3.59528,3.59528,646.517882,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,15,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,8.34868,547.987507,0.68498438375,true,7.84755,7.84755,564.210034,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,16,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,11.4968,698.071977,0.87258997125,true,11.2474,11.2474,718.863267,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,17,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,25.9831,751.756282,0.9396953525,true,22.3216,22.3216,758.230407,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,18,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,5.64339,587.783613,0.73472951625,true,5.08974,5.08974,622.828154,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,19,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,9.74663,756.787655,0.94598456875,true,9.46157,9.46157,791.160775,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,20,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,12.9363,617.991847,0.77248980875,true,12.7043,12.7043,620.751626,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,21,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,5.77109,654.874254,0.8185928175,true,5.03392,5.03392,655.779872,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,22,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,3.16336,650.735637,0.81341954625,true,2.92085,2.92085,660.352252,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,23,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,6.09595,623.96304,0.7799538,true,6.09595,4.99757,858.206128,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,24,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,2.43938,727.21103,0.9090137875,true,2.18139,2.18139,734.226129,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,25,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,13.1859,667.700374,0.8346254675,true,12.6709,12.6709,702.359053,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,26,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,4.63811,545.958033,0.68244754125,true,4.18547,4.18547,563.116155,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,27,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,12.4616,646.14784,0.8076848,true,11.3469,11.3469,647.831474,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,28,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,22.6861,601.880234,0.7523502925,true,21.1273,21.1273,616.705926,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,29,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,1.73159,722.120817,0.90265102125,true,1.31007,1.31007,724.057889,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,30,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,10.346,679.113757,0.84889219625,true,9.81386,9.81386,682.440824,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,31,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,8.52719,657.585688,0.82198211,true,4.6074,4.6074,666.071718,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,32,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,4.44483,713.656778,0.8920709725,true,4.44483,3.80554,802.628162,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,33,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,4.75899,626.210182,0.7827627275,true,4.44589,4.44589,675.653088,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,34,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,11.1312,587.603339,0.73450417375,true,10.8072,10.8072,610.954386,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,35,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,6.55313,572.757896,0.71594737,true,6.01745,6.01745,576.582768,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,36,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,2.58006,594.050679,0.74256334875,true,2.05709,2.05709,613.095908,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,37,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,5.983,628.705739,0.78588217375,true,3.59249,3.59249,628.995197,true
